Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,State,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
"Los Angeles, CA metro area",April 2019,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",4/1/2019,4/30/2019,,31084,Value,26922,0.040866035,0.145275875,0.992729081,0.3%,-1.2%,6031,12.1%,-0.4%,19451,3.4%,20.2%,48,-3,14,434.050133569,0.008820560,0.019074227,675000,0.022727273,0.038461538,421.397762821,-0.001875752,0.014063047,$626K,1.0%,2.6%,3.2,-0.3,0.5,8287,6.9%,-4.7%,1,0.248080439,-0.021352888,-0.082148319,31084,5470,0.152306720,-0.106209150,30,0.175055267,0.004409162,0.016884121,-1,-2,0.370087879,0.040719850,-0.094740390
"Los Angeles, CA metro area",October 2019,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",10/1/2019,10/31/2019,,31084,Value,25714,-0.020866651,-0.059782807,0.993657455,-0.1%,0.0%,6236,7.6%,6.1%,18052,-5.2%,-9.9%,49,0,5,448.564593301,0.007376983,0.050144084,665000,-0.014814815,0.040688576,428.175519630,-0.005027136,0.021824948,$645K,0.8%,4.9%,2.9,-0.4,-0.5,6844,-4.5%,-10.0%,1,0.234409391,0.007464567,0.006223990,31084,5452,0.062975239,0.023081254,30,0.197817416,0.005281591,-0.057211785,-1,-2,0.368986530,-0.005646775,0.002410628
"Washington, DC metro area",February 2012,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",2/1/2012,2/29/2012,,47894,Value,21162,0.007906268,-0.157831901,0.976852323,0.2%,-0.1%,3653,12.3%,4.4%,15597,0.5%,-21.2%,63,-5,-11,163.231926726,0.014452695,0.043526897,329000,0.065645720,0.100334448,152.678508724,0.021683254,0.024136288,$278K,-0.6%,5.0%,4.3,-0.5,-1.4,5988,15.0%,4.3%,1,0.523379820,0.102679183,0.071068148,47894,3657,0.164649682,0.182347236,30,0.195806886,-0.020388437,-0.051755384,-1,-2,0.183137148,0.009143911,-0.031781401
"Washington, DC metro area",July 2014,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",7/1/2014,7/31/2014,,47894,Value,25973,0.029081976,0.187717212,0.989612323,-0.1%,-0.4%,6196,-5.9%,-5.4%,19628,5.9%,30.0%,23,4,4,189.248971193,-0.019928226,0.012692273,374900,0,0.069614836,193.416825858,-0.021486695,0.027328714,$375K,-3.4%,1.4%,3.2,0.4,0.9,7679,-6.9%,6.4%,1,0.420915817,-0.049322278,-0.083844377,47894,5001,-0.124474790,-0.101670559,30,0.286427552,-0.006760517,0.052224347,-1,-2,0.240477728,-0.022320389,-0.055230230
"Washington, DC metro area",February 2015,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",2/1/2015,2/28/2015,,47894,Value,20173,0.019971686,0.113177353,0.983152882,0.4%,-0.4%,3703,4.6%,3.7%,14574,2.8%,12.4%,61,0,15,191.695626478,0.042452013,-0.002914083,399000,0.14,0.064283809,184.296947946,0.005851787,-0.031124617,$353K,3.8%,5.0%,3.9,-0.1,0.3,6194,17.0%,8.3%,1,0.555290374,0.120811809,-0.006988176,47894,3771,0.146549103,0.027800491,30,0.173116509,-0.029281234,0.013647046,-1,-2,0.204158790,0.029300033,-0.013427320
"Washington, DC metro area",December 2015,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",12/1/2015,12/31/2015,,47894,Value,20662,-0.134140720,0.028523072,0.985452289,0.1%,0.1%,5716,28.8%,9.1%,14703,-14.1%,0.3%,51,7,0,180.264705882,-0.034038618,0.036199540,339730,-0.006637427,0.029487968,187.060496688,-0.010697789,-0.010474572,$352K,-2.2%,-4.9%,2.6,-1.3,-0.2,3688,-18.8%,5.4%,1,0.325290698,-0.009473251,0.004559759,47894,3440,-0.179780639,0.083805923,30,0.179759233,-0.055307979,-0.001922449,-1,-2,0.206787964,-0.001367026,0.014539014
"Washington, DC metro area",October 2018,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",10/1/2018,10/31/2018,,47894,Value,22822,0.055792006,0.000394512,0.991390575,0.0%,0.0%,5880,12.1%,-2.6%,16157,-1.7%,4.7%,43,15,15,211.924112005,-0.050263399,0.025903870,399000,-0.038554217,0.036363636,208.309935897,0.018404131,0.021161899,$390K,1.9%,2.9%,2.7,-0.4,0.1,6503,-6.6%,-1.8%,1,0.206700508,-0.137223241,-0.228978884,47894,4925,0.303944930,-0.108919848,30,0.371603639,0.071402897,0.073184155,-1,-2,0.268197279,0.017482312,0.009588007
"Washington, DC metro area",January 2020,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",1/1/2020,1/31/2020,,47894,Value,14867,-0.010581658,-0.076009944,0.989218184,-0.3%,0.1%,4066,-27.3%,-0.2%,9682,0.6%,-11.3%,51,10,-9,220.896464646,0.048230031,0.071080640,422000,0.088761121,0.055263816,209.166579030,0.007098343,0.017772804,$400K,-4.6%,3.9%,2.4,0.7,-0.3,5329,76.9%,8.2%,1,0.455630936,0.182591591,0.078288763,47894,3685,-0.026934249,0.062265783,30,0.168353646,0.009118639,-0.034851482,-1,-2,0.255287752,-0.021566582,0.023933483
"Washington, DC metro area",February 2020,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",2/1/2020,2/29/2020,,47894,Value,16151,0.086365777,-0.039260008,0.994603632,0.5%,0.4%,4503,10.7%,8.5%,10108,4.4%,-11.3%,38,-13,-10,221.691678035,0.003599937,0.059142087,449900,0.066113744,0.058588235,214.153370164,0.023841243,0.040421232,$417K,4.3%,7.7%,2.2,-0.2,-0.5,6571,23.3%,9.6%,1,0.543225806,0.087594870,0.036518644,47894,4650,0.261872456,0.176917236,30,0.157103285,-0.011250361,-0.016672387,-1,-2,0.329558072,0.074270320,0.053546512
"Chicago, IL metro area",March 2015,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",3/1/2015,3/31/2015,,16984,Value,44003,0.123758204,0.128397784,0.963338195,0.4%,-0.5%,7259,43.0%,15.6%,32673,6.9%,12.6%,70,-7,10,144.865745422,0.001831164,0.047406643,245200,0.022092539,0.066550674,122.497616778,0.081550729,0.065196668,$200K,16.3%,14.2%,4.5,-1.5,-0.100000000,13994,42.7%,15.5%,1,0.434887138,0.005958938,-0.013691520,16984,7487,0.558168574,0.114302724,30,0.232852814,0.045183149,0.010523420,-1,-2,0.185976030,0.005518977,-0.035963152
"Boston, MA metro area",April 2014,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",4/1/2014,4/30/2014,,14454,Value,23644,0.195046753,-0.037766564,0.988638343,0.5%,0.7%,3278,20.1%,-4.3%,19800,19.7%,-4.2%,76,-18,-9,233.440768569,0.012942763,0.029572457,419000,0.047502619,0.071611253,224.014336918,0.055825688,0.069076991,$367K,1.4%,5.0%,6,-0.100000000,0,7376,26.0%,-4.9%,1,0.085070892,-0.001524600,0.008513799,14454,2398,0.422301305,0.037197232,30,0.131010101,0.016560282,0.006312647,-1,-2,0.302013423,0.034516171,0.033692255
"Boston, MA metro area",April 2016,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",4/1/2016,4/30/2016,,14454,Value,15865,0.093383873,-0.072656067,0.994750206,0.6%,0.6%,3644,14.7%,22.3%,9720,8.3%,-8.4%,16,-14,-34,248.872761939,-0.019236128,0.030749255,454950,-0.042210526,0.036332574,234.900776531,0.022076209,0.043501527,$415K,6.4%,7.8%,2.7,-0.100000000,-0.9,7016,0.0%,-15.0%,1,0.655397833,-0.025654088,-0.030784396,14454,5354,0.203416498,0.007906627,30,0.235082305,0.019396030,0.025091730,-1,-2,0.371295280,0.073751199,0.058774300
"Boston, MA metro area",June 2016,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",6/1/2016,6/30/2016,,14454,Value,16839,0.009169364,-0.137788018,1.002328342,0.2%,0.2%,6429,39.9%,3.8%,10422,4.8%,-16.0%,10,-1,0,251.184135657,-0.009352927,0.053065642,449000,-0.002222222,0.056719228,250.881790961,0.016071253,0.030359441,$449K,5.4%,5.6%,1.6,-0.6,-0.4,6995,-1.7%,-8.2%,1,0.585999646,-0.065282405,0.019875456,14454,5657,-0.064185277,-0.106177911,30,0.317789292,0.023588870,-0.000180088,-1,-2,0.421371909,0.005829897,0.026894272
"Boston, MA metro area",July 2016,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",7/1/2016,7/31/2016,,14454,Value,15485,-0.080408575,-0.142532809,1.001603629,-0.1%,0.2%,5405,-15.9%,-15.3%,10219,-1.9%,-16.0%,11,1,-1,241.538461538,-0.038400809,0.043699624,419000,-0.066815145,0.047503928,249.464708578,-0.005648407,0.028101660,$445K,-0.9%,4.7%,1.9,0.3,0,5143,-26.5%,-11.2%,1,0.489569161,-0.096430485,0.036472530,14454,4410,-0.220434859,-0.110349001,30,0.272922987,-0.044866305,-0.018144480,-1,-2,0.417021277,-0.004350632,0.033985842
